                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9064,                 3.3221,                 1.8943,                0.00485,                0.89441,                0.17116,                0.05899,                 1.6177,                 3.8289,                 1.8333,                0.00042,                0.00042,                0.00042
                      1,                 1.6693,                 2.3011,                 1.6647,                0.82631,                 0.1182,                0.54018,                 0.2504,                  1.541,                 3.1962,                 1.6258,             0.00083162,             0.00083162,             0.00083162
                      2,                 1.7071,                  2.115,                 1.6543,                0.45737,                0.35404,                0.30887,                0.11486,                 1.9023,                 3.1479,                 1.9932,              0.0012142,              0.0012142,              0.0012142
                      3,                 1.7087,                  2.068,                 1.6947,                0.07166,                0.49068,                0.06086,                0.02845,                 1.7189,                 5.7449,                 2.1439,              0.0015677,              0.0015677,              0.0015677
                      4,                 1.7147,                 1.9289,                 1.6909,                0.46999,                0.53976,                0.47361,                0.20028,                  1.743,                 2.5625,                 1.8248,               0.001736,               0.001736,               0.001736
                      5,                 1.7178,                 1.9464,                 1.6816,                0.61771,                0.57764,                0.60095,                0.28791,                  1.682,                 2.5907,                 1.7943,               0.001736,               0.001736,               0.001736
                      6,                 1.6657,                 1.7833,                 1.6633,                0.59976,                0.42815,                0.42587,                0.18795,                 1.8043,                 2.4269,                 1.8584,                0.00167,                0.00167,                0.00167
                      7,                 1.7299,                 1.7434,                 1.6749,                0.25117,                0.62917,                0.26927,                0.11481,                 1.7159,                 3.7062,                 1.7208,               0.001604,               0.001604,               0.001604
                      8,                 1.6443,                  1.654,                 1.6364,                0.43378,                0.59006,                0.43982,                0.19696,                   1.67,                 2.5819,                 1.7057,               0.001538,               0.001538,               0.001538
                      9,                 1.6166,                 1.6326,                 1.6073,                0.70995,                0.72976,                 0.7268,                0.33222,                 1.7472,                 1.8034,                  1.735,               0.001472,               0.001472,               0.001472
                     10,                 1.6309,                 1.5632,                 1.6073,                0.76182,                0.82609,                 0.8291,                0.35333,                 1.7072,                 1.4969,                 1.6841,               0.001406,               0.001406,               0.001406
                     11,                  1.627,                 1.4375,                 1.6085,                0.85292,                0.72036,                0.83904,                0.40401,                 1.7421,                 1.3989,                 1.6366,                0.00134,                0.00134,                0.00134
                     12,                 1.6376,                 1.4898,                 1.6023,                 0.7347,                 0.7764,                0.78464,                0.38087,                  1.553,                 1.5629,                 1.5766,               0.001274,               0.001274,               0.001274
                     13,                 1.5901,                  1.406,                 1.5713,                0.89747,                0.68323,                0.83045,                0.39082,                  1.672,                 1.3276,                 1.6795,               0.001208,               0.001208,               0.001208
                     14,                 1.5427,                 1.3803,                 1.5607,                0.85432,                0.76398,                0.81109,                0.40279,                 1.6832,                 1.3123,                 1.7158,               0.001142,               0.001142,               0.001142
                     15,                 1.5141,                 1.3519,                 1.5454,                0.82559,                0.73507,                0.82014,                0.41005,                  1.596,                 1.2208,                 1.6128,               0.001076,               0.001076,               0.001076
                     16,                 1.5673,                 1.2794,                 1.5318,                0.82218,                0.71796,                0.81169,                0.41048,                  1.622,                 1.2859,                 1.6356,                0.00101,                0.00101,                0.00101
                     17,                  1.555,                 1.3026,                 1.5246,                0.83957,                0.79503,                0.87143,                 0.4497,                 1.5823,                 1.2092,                 1.5811,               0.000944,               0.000944,               0.000944
                     18,                 1.4946,                 1.2533,                 1.5112,                0.84049,                0.79503,                0.87294,                0.42144,                 1.6432,                 1.1944,                 1.6438,               0.000878,               0.000878,               0.000878
                     19,                 1.4812,                 1.1858,                 1.5126,                0.87817,                0.80592,                0.85962,                 0.4424,                 1.5868,                 1.1032,                 1.5977,               0.000812,               0.000812,               0.000812
                     20,                 1.5068,                 1.2169,                 1.5628,                0.78357,                 0.8545,                0.84431,                0.41108,                 1.6427,                 1.1583,                 1.6114,               0.000746,               0.000746,               0.000746
                     21,                 1.4853,                 1.1962,                 1.5213,                0.78601,                0.81988,                0.83542,                0.40671,                 1.5696,                 1.1955,                 1.5865,                0.00068,                0.00068,                0.00068
                     22,                 1.4188,                 1.1655,                 1.4899,                0.86276,                0.83851,                0.86199,                0.42378,                  1.594,                 1.0954,                 1.6011,               0.000614,               0.000614,               0.000614
                     23,                 1.4628,                   1.15,                 1.5289,                0.77569,                0.78261,                0.81361,                0.40774,                 1.6365,                  1.154,                 1.6545,               0.000548,               0.000548,               0.000548
                     24,                 1.4045,                 1.1065,                 1.4865,                0.84401,                0.85093,                0.86876,                0.40759,                 1.6466,                 1.0582,                 1.6068,               0.000482,               0.000482,               0.000482
                     25,                 1.4212,                  1.128,                 1.4898,                0.82828,                0.86883,                0.87416,                0.42594,                 1.6132,                 1.0891,                 1.6031,               0.000416,               0.000416,               0.000416
                     26,                  1.368,                  1.081,                 1.4536,                0.88456,                0.85714,                0.89793,                0.44446,                 1.6284,                 1.0194,                 1.5995,                0.00035,                0.00035,                0.00035
                     27,                 1.3342,                0.99137,                 1.4173,                0.86914,                0.85093,                0.88999,                0.44667,                 1.6243,                 1.0352,                 1.6148,               0.000284,               0.000284,               0.000284
